,Vlan,MAC,,IP,Where
*,86,0014.220d.d0e8,Po6,10.25.56.76,legacy
*,86,0014.220d.d0ea,Po6,10.25.56.74,legacy
+,86,0014.220d.d0ec,Po6,10.25.56.75,legacy
C,86,0014.2212.e57c,nve1(10.246.253.37),10.25.56.50,CBPDCNNC-N48GE2C-RT01
C,86,0014.2212.e611,nve1(10.246.253.37),10.25.56.49,CBPDCNNC-N48GE2C-RT01
C,86,0014.c29c.f5a2,nve1(10.246.253.34),10.25.56.101,CBPDCNNC-N48GE2B-RT0
C,86,0014.c29c.f684,nve1(10.246.253.34),10.25.56.100,CBPDCNNC-N48GE2B-RT0
C,86,1458.d05c.58d6,nve1(10.246.253.34),10.25.56.83,CBPDCNNC-N48GE2B-RT0
+,86,3c4a.9278.c8b6,Po6,10.25.56.103,legacy
C,86,9cb6.548d.fc1c,nve1(10.246.253.34),10.25.56.81,CBPDCNNC-N48GE2B-RT0
C,86,a0b3.cce9.a2e0,nve1(10.246.253.37),10.25.56.102,CBPDCNNC-N48GE2C-RT01
C,86,c8cb.b8cb.73b4,nve1(10.246.253.37),10.25.56.136,CBPDCNNC-N48GE2C-RT01
C,86,d89d.6769.65c2,nve1(10.246.253.34),10.25.56.82,CBPDCNNC-N48GE2B-RT0
G,86,0000.5e00.0101,sup-eth1(R),10.25.56.254,
G,86,0000.5e00.0102,sup-eth1(R),10.25.56.253,
G,86,006b.f136.9fa7,sup-eth1(R),#N/A,
G,86,006b.f183.d407,vPC Peer-Link(R),10.25.56.251,
