CBPDCNCL-N09IRH2-RT03;Eth1/11;1603;SLAC-UPM-EMC-CENTERA-PROD1
CBPDCNCL-N09IRH2-RT04;Eth1/11;1603;SLAC-UPM-EMC-CENTERA-PROD2
CBPDCNNC-N09IRH2-RT01;Eth101/1/17;1414;SLANC-UPM-NW2CA-DR-MGTFW1_Pri
CBPDCNNC-N09IRH2-RT01;Eth101/1/18;1516;SLANC-UPM-ASA-5510-CommSee-MGT
CBPDCNNC-N09IRH2-RT01;Eth101/1/19;1516;SLANC-UPM-Cyclades-ACS32-CommSee-MGT
CBPDCNNC-N09IRH2-RT01;Eth101/1/20;1414;SLANC-UPM-NW2CA-DR-MGTFW1_Sec
CBPDCNNC-N09IRH2-RT01;Eth101/1/21;1516;SLANC-UPM-ASA-5510-CommSee-MGT
CBPDCNNC-N09IRH2-RT01;Eth101/1/22;1516;SLANC-UPM-Cyclades-ACS32-CommSee-MGT
CBPDCNNC-N09IRH2-RT01;Eth101/1/23;1412;SLANC-UPM-CAAS-Staging-MGT-FW
CBPDCNNC-N09IRH2-RT02;Eth101/1/17;1414;SLANC-UPM-NW2CA-DR-MGTFW1_Pri
CBPDCNNC-N09IRH2-RT02;Eth101/1/18;1516;SLANC-UPM-ASA-5510-CommSee-MGT
CBPDCNNC-N09IRH2-RT02;Eth101/1/19;1516;SLANC-UPM-Cyclades-ACS32-CommSee-MGT
CBPDCNNC-N09IRH2-RT02;Eth101/1/20;1414;SLANC-UPM-NW2CA-DR-MGTFW1_Sec
CBPDCNNC-N09IRH2-RT02;Eth101/1/21;1516;SLANC-UPM-ASA-5510-CommSee-MGT
CBPDCNNC-N09IRH2-RT02;Eth101/1/22;1516;SLANC-UPM-Cyclades-ACS32-CommSee-MGT
CBPDCNNC-N09IRH2-RT02;Eth101/1/23;1412;SLANC-UPM-CAAS-Staging-MGT-FW
